path,title_len,desc_len,h1_count,words,imgs,ocala,clicks,imps,pos
/,30,0,1,879,13,0,5,392,20.07
/about/,31,0,1,825,5,1,0,0,None
/brands/,32,0,0,240,8,0,0,0,None
/contact/,33,0,1,337,1,0,0,0,None
/gallery/,33,0,0,218,10,0,0,0,None
/services/,34,0,1,873,13,1,0,0,None
/services/custom-draperies-curtains/,98,183,1,1245,6,2,0,0,None
/services/plantation-shutters/,80,180,1,3495,6,0,0,0,None
/services/window-shades/,74,202,1,1430,5,0,0,0,None
/services/custom-blinds/,88,228,1,1124,3,2,0,0,None
/services/custom-cornices-valances/,95,180,1,1494,5,2,0,0,None
/services/drapery-hardware/,79,193,1,1548,7,0,0,0,None
/services/outdoor-window-shades/,91,207,1,1456,3,2,0,0,None
/services/furniture-reupholstery/,78,176,1,1308,4,0,0,0,None
/services/custom-bedding-pillows/,80,195,1,1560,3,2,0,0,None
/services/custom-banquettes/,43,0,1,972,3,2,0,0,None
/services/commercial-window-treatments/,79,189,1,1382,5,2,0,0,None
/services/services-interior-decor-tampa/,75,168,1,1453,5,2,0,0,None
/areas/,31,0,1,938,16,0,0,0,None
/areas/st-petersburg/,82,200,1,2228,3,0,0,0,None
/areas/downtown-st-pete/,101,216,1,3015,3,0,0,0,None
/areas/old-northeast/,104,215,1,2729,3,0,0,0,None
/areas/snell-isle/,95,198,1,2525,3,0,0,0,None
/areas/shore-acres/,105,202,1,2964,3,0,0,0,None
/areas/west-st-pete/,75,205,1,772,3,0,0,0,None
/areas/tierra-verde/,96,205,1,3170,3,0,0,0,None
/areas/st-pete-beach/,102,195,1,3311,3,0,0,0,None
/areas/treasure-island/,106,212,1,3210,3,0,0,0,None
/areas/clearwater/,103,181,1,3197,3,0,0,0,None
/areas/sand-key/,103,212,1,2994,3,0,0,0,None
/areas/belleair-shore/,52,198,1,3019,3,0,0,0,None
/areas/seminole/,94,201,1,2864,3,0,0,0,None
/areas/largo/,99,194,1,2966,3,0,0,0,None
/plantation-shutters-cost-st-petersburg/,91,153,1,1258,1,0,0,0,None
/plantation-shutters-installation-st-petersburg/,102,161,1,1035,1,0,0,0,None
/plantation-shutters-regret-downsides/,94,182,1,859,1,0,0,0,None
